product_code,product_name,id,product_id,group_code,set_item_label,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,waste_pct,weight_kg,total_length_m,paint_area_m2,volume_m3,unit_price,amount,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon
CH0180HG-AL,Ghế 5 bậc Toblino,7697a47d-71f7-42b1-92e4-95cb517af5a1,686a1fc9-ecb3-4d78-9fd9-6815b90375e0,FRAME,,,Giằng Tựa,VT-AL-PF-TDE570,AL,PF,TDE570,,,,425,4,Cái,0,,,,,,,,5,2026-07-27T08:40:17.275135+00:00,2026-07-27T08:40:17.275135+00:00,,,TD-E570 · Nhôm,
CH0184HG-AL,Rhone 2 Seater Aluminium Lounge,76c02090-ae65-4b02-9aae-e4fcd5e2f478,f9856e48-3f95-4f76-aa47-20064c5e4460,PACKAGING,,,Carton,VT-BB-CARTON,,,,,,,,1,cái,0,,,,,,,,19,2026-07-27T08:39:49.196697+00:00,2026-07-27T08:39:49.196697+00:00,,,340x630x1250mm · Bao bì,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",770f051a-85cf-4c75-a593-470aa9c965d4,ab1d308e-c1ed-413a-962e-fa0665835a57,FRAME,,,Giang diềm,VT-AL-HOP-15x35,AL,HOP,,15,35,,850,2,Cái,0,,,,,,,,3,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,Hộp 15x35x1mm · Nhôm,
CH0165HG-AL,Ghế xếp chồng nhôm vải Naxos,77842453-b922-4c23-8af3-7b8bea06db91,f0401a01-d5b1-4296-a70e-90d2f283507b,FRAME,,,Pas tay vịn,VT-AL-LA-3x25,AL,LA,,3,25,,50,2,Cái,0,,,,,,,,9,2026-07-27T08:40:02.457562+00:00,2026-07-27T08:40:02.457562+00:00,,,La 3x25x50mm · Nhôm,
OT0179HG-AL,"Bồn hoa nhỏ, khung nhôm, nan gỗ",778c7eaf-bbb2-43ab-89b5-e5bbccdbf69d,467c7182-10b4-45ac-aee5-7c5ed88542ea,FRAME,,,Pas nối,VT-AL-LA-30x4,AL,LA,,30,4,,40,16,cái,0,,,,,,,Alu 5,2,2026-07-27T08:40:20.012597+00:00,2026-07-27T08:40:20.012597+00:00,,,LA 4x30x40mm · LA,
BN0204HG-AL,Ghế ba bằng nhôm gỗ bạch đàn FSC,77d2e981-68aa-4213-a1bd-ce8e91128e57,d7cc4ec4-9b1a-4022-a1a5-f85c8a8c680e,HARDWARE,,,Vít m6x25 (đầu col lục giác),VT-PK-VIT-M6X25,,,,,,,,4,cái,0,,,,,,,,19,2026-07-27T08:40:28.444161+00:00,2026-07-27T08:40:28.444161+00:00,,,Thép/Nhựa,
SL0181HG-AL,Giường tắm nắng Paxos,77fd2aff-5430-4ad4-b2a3-f6c5e8d6d822,061e7682-05b0-43e3-a65d-1d7921caa87b,HARDWARE,,,"LĐS 6x16x1, đen",VT-PK-LDS-6X16X1-DEN-6X16X1MM,,,,,,,,12,con,0,,,,,,,,26,2026-07-27T08:40:07.914699+00:00,2026-07-27T08:40:07.914699+00:00,,,6x16x1mm,
TB0169HG-AL,Bàn CNKG Paxos,78330e72-ca84-4f98-8ba0-7902f4273358,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,WOOD,,,Viền ngắn mặt,VT-GO-24x44,WD,,,24,44,,596,2,Cái,0,,,,,,,,14,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,24x44x596mm · Gỗ,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",784c7af7-5334-486f-9e78-207e4c13e544,ab1d308e-c1ed-413a-962e-fa0665835a57,FRAME,,,Chân bàn,VT-AL-VUONG-76x76,AL,VUONG,,76,76,,655,4,Cái,0,,,,,,,,0,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,Vuông 76x76x1.2mm · Nhôm,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",7850e76b-e690-4e2f-ac65-389626b39f96,33351402-69c3-452c-800e-023b985a89f3,HARDWARE,,,"Vít 4x15 ren gỗ, đầu bằng, inox",VT-PK-VIT-M4X15,,,,,,,,8,con,0,,,,,,,"Chân trước, chân sau",25,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0189HG-AL,Stacking Armchair,785aa061-6012-4cf6-a2cb-cbb7006f1c5b,9d8c30ac-09ec-4dc2-8e68-42aeb736970f,WOOD,,,Nan tựa,VT-GO-12x90,WD,,,12,90,,454,3,Cái,0,,,,,,,,10,2026-07-27T08:39:53.627404+00:00,2026-07-27T08:39:53.627404+00:00,,,Gỗ 12x90x454mm · Gỗ Bạch đàn,
TB0094HG-AL,Bàn CN NW 1725x1000,78734a6d-c6cf-4c2a-9055-0705e7ddcae9,a92ef538-fef8-4eee-b2bd-c81fa8b693a7,FRAME,,,Khung bàn lớn/ nan bàn dọc viền,VT-AL-TOLE-1x256,AL,TOLE,,1,256,,736,2,Cái,0,,,,,,,,9,2026-07-27T08:39:47.189331+00:00,2026-07-27T08:39:47.189331+00:00,,,Tole 256x736mm · Sắt,
TB0167HG-AL,"Bàn CN nhôm gỗ keo 150x90 cm , sơn bạc",78900cba-dfc9-4afa-a977-2be034557755,02b7c853-9ac4-41c3-ada0-f619f6735301,PACKAGING,,,Thùng carton,VT-BB-THUNG-CARTON,,,,,,,,1,Cái,0,,,,,,,,17,2026-07-27T08:40:04.076887+00:00,2026-07-27T08:40:04.076887+00:00,,,1550x950x100mm · Carton,
CH0001HG-AL,Ghế XC Naxos tay vịn nhôm gián giấy,789e7ceb-74cd-46e1-a165-c1832a92a1cc,01ff6358-52cf-45d5-ac91-c853c5cf474d,WOOD,,,tay vịn,VT-GO-25x50,WD,,,25,50,,520,2,cái,0,,,,,,,,11,2026-07-27T08:40:25.178285+00:00,2026-07-27T08:40:25.178285+00:00,,,Gỗ 25x50x520mm · Gỗ bạch đàn,
TB0169HG-AL,Bàn CNKG Paxos,79421344-3fa0-4674-9e03-9d92a5f8718f,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,HARDWARE,,,Cục chặn,VT-PK-CUC-CHAN-DEN,,,,,,,,4,cái,0,,,,,,,,44,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,đen,
CH0177HG-AL,Ghế XC Siena,79457fa4-3028-4942-a6d7-a417ea9639aa,ecc2779b-b769-4034-aad4-8cd732d1b4de,HARDWARE,,,"Bulon 6x30x15,7M",VT-PK-BULONG-M6X30,,,,,,,,6,con,0,,,,,,,,12,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,"Bulon 6x30x15,7M",
TB0193HG-AL,Rhone Round Aluminium Dining Table,7991df6f-cb08-4356-b75f-db7a53214b8e,ac0924e2-8576-4305-a8b2-4ae84302270f,FRAME,,,Chân,VT-AL-HOP-70x70,AL,HOP,,70,70,,724,4,Cái,0,,,,,,,Profile  870,0,2026-07-27T08:39:57.151771+00:00,2026-07-27T08:39:57.151771+00:00,,,Hộp 70x70x724mm · Nhôm,
TB0191HG-AL,Rhone Aluminium Coffee Table,79b13463-a7cf-41d7-ae57-a0f52010d5dc,d405717a-b3a3-43e3-9d3b-b7319c0f8016,PACKAGING,,,Carton,VT-BB-CARTON,,,,,,,,1,cái,0,,,,,,,,11,2026-07-27T08:39:55.462282+00:00,2026-07-27T08:39:55.462282+00:00,,,80x650x1245mm · Bao bì,
CH0113HG-AL,Armchair,79b57fa0-5a4e-4453-a6ba-ca9efc716fed,df8b1a79-e9a3-4514-b995-7239f1f0dacd,HARDWARE,,,Eru 8 keo đen,VT-PK-ERU-8-KEO-DEN-8MM,,,,,,,,1,con,0,,,,,,,bắn pen,19,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,8mm · Kim loại,
CH0113HG-AL,Armchair,7a62b5fa-fed6-4cdf-b5d1-f93d94fe0a31,df8b1a79-e9a3-4514-b995-7239f1f0dacd,HARDWARE,,,Long đền nhọn,VT-PK-LONGDEN-M8X20,,,,,,,,2,con,0,,,,,,,,31,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,"8x20x8mm, đen · Kim loại",
CH0119HG-AL,Ghế 5 bậc nhôm lưới Tilos,7aa203d1-ef99-4462-8a71-ac273bd580b6,976695ad-7e1a-405b-8fd8-22c6c97841b6,HARDWARE,,,"Vít 4x15 đầu bằng đuôi cá, xi đen",VT-PK-VIT-M4X15,,,,,,,,2,cái,0,,,,,,,Bắt tai thỏ chỗ chân,37,2026-07-27T08:39:59.69022+00:00,2026-07-27T08:39:59.69022+00:00,,,"4x15 đầu bằng đuôi cá, xi đen",
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",7aa4a98c-6b3b-47d8-8063-ddfe9688e855,33351402-69c3-452c-800e-023b985a89f3,PACKAGING,,,Hộp 7 bậc inox,VT-BB-HOP-7-BAC-INOX,,,,,,,,2,cái,0,,,,,,,Lắp hộp 7 bậc,24,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0113HG-AL,Armchair,7acb461a-5e67-4cf7-85fe-59c4289da4e0,df8b1a79-e9a3-4514-b995-7239f1f0dacd,HARDWARE,,,Bulon,VT-PK-BULONG-M8X50,,,,,,,,2,con,0,,,,,,,tay vịn gỗ,30,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,"8x50x15mm, đen · Kim loại",
CH0180HG-AL,Ghế 5 bậc Toblino,7afac763-b929-46bd-b4f3-6527921e2601,686a1fc9-ecb3-4d78-9fd9-6815b90375e0,HARDWARE,,,Vít ren gỗ 4x15,VT-PK-VIT-M4X15,,,,,,,,8,con,0,,,,,,,Tay vịn,20,2026-07-27T08:40:17.275135+00:00,2026-07-27T08:40:17.275135+00:00,,,"Vít ren gỗ 4x15, 7 màu",
CH0180HG-AL,Ghế 5 bậc Toblino,7afb83d7-c5e6-424a-9e3f-22f3ac37607a,686a1fc9-ecb3-4d78-9fd9-6815b90375e0,HARDWARE,,,Pát thỏ Siena,VT-PK-PAT-PAT-THO-SIENA-PAT-THO-SI,,,,,,,,2,con,0,,,,,,,Khớp nối,17,2026-07-27T08:40:17.275135+00:00,2026-07-27T08:40:17.275135+00:00,,,Pát thỏ Siena + KN,
OT0178HG-AL,"Bồn hoa lớn, khung nhôm, nan gỗ",7afc25a6-f614-4da8-b775-54c4cbd0a104,08deae79-7e91-40c5-a88e-0b5aa90a6c03,WOOD,,,Bọ đỡ 1,VT-GO-20x20,WD,,,20,20,,60,2,cái,0,,,,,,,,23,2026-07-27T08:40:18.92139+00:00,2026-07-27T08:40:18.92139+00:00,,,Gỗ 20x20x60mm · Gỗ keo,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",7b171c82-6158-4fb4-8092-7ef48ae1993e,33351402-69c3-452c-800e-023b985a89f3,WOOD,,,Nan tựa vẽ,VT-GO-23x25,WD,,,23,25,,515,9,cái,0,,,,,,,34,13,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Gỗ 23x25x515mm · Gỗ keo,
TB0198HG-IN,"Bàn Keros 150x90 khung Inox, nan gỗ keo FSC",7b644932-6002-4bfd-bfd0-4c0eb1339673,c835fe7a-b3b4-40ed-a1ee-3e432f3166ed,FRAME,,,Pas bắt gỗ,VT-IN-LA-30x1.5,IN,LA,,30,1.5,,30,8,cái,0,,,,,,,,7,2026-07-27T08:40:22.700984+00:00,2026-07-27T08:40:22.700984+00:00,,,La 1.5x30x30mm · La,
CH0177HG-AL,Ghế XC Siena,7b8fd589-8a4d-48e6-bc71-1e3a0204b31d,ecc2779b-b769-4034-aad4-8cd732d1b4de,HARDWARE,,,"Tán dù 6x20x15,7M",VT-PK-TANDU-M6X20,,,,,,,,6,con,0,,,,,,,,13,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,"Tán dù 6x20x15,7M",
BN0190HG-AL,Picnic Bench,7ba4b67e-5bbe-44f2-a1cd-a205b6f4217f,f3c3b6bf-a169-426c-8d4b-6711034ab64f,HARDWARE,,,Vòng,VT-PK-VONG-DEM-8X8-5X12-5X1-5,,,,,,,,8,cái,0,,,,,,,,8,2026-07-27T08:39:54.526888+00:00,2026-07-27T08:39:54.526888+00:00,,,đệm Ø8x8.5x12.5x1.5 · Ngũ kim,
CH0177HG-AL,Ghế XC Siena,7bd49048-28f2-4cef-80eb-7b959820ee17,ecc2779b-b769-4034-aad4-8cd732d1b4de,HARDWARE,,,Gót chân siena màu đen,VT-PK-DECHAN-GOT-CHAN-SIENA-MAU-DEN-G,,,,,,,,4,cái,0,,,,,,,,16,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,Gót chân siena màu đen,
OT0179HG-AL,"Bồn hoa nhỏ, khung nhôm, nan gỗ",7bd92bec-d37b-465d-abc5-b440532dc808,467c7182-10b4-45ac-aee5-7c5ed88542ea,WOOD,,,Dọc khung chấn dưới,VT-GO-25x40,WD,,,25,40,,425,2,cái,0,,,,,,,,7,2026-07-27T08:40:20.012597+00:00,2026-07-27T08:40:20.012597+00:00,,,Gỗ 25x40x425mm · Gỗ keo,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",7bf63b9e-c9c9-4c14-b252-60597efa795f,33351402-69c3-452c-800e-023b985a89f3,HARDWARE,,,"Vít 6x60x13, ren gỗ đầu col lục giác 5, Inox",VT-PK-VIT-M6X60,,,,,,,,8,con,0,,,,,,,Lắp mê ngồi vào chân trước,17,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0188HG-AL,Stacking Armchair,7bfe16cb-7a2f-481e-be99-f3a089978992,e8973176-e4ea-48ca-af9b-3be8ebadfe91,FRAME,,,Tay vịn,VT-AL-HOP-15x40,AL,HOP,,15,40,,431,2,Cái,0,,,,,,,Profile 872,1,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,Hộp 15x40x431mm · Nhôm,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",7c01037f-1b71-4993-9fe7-46d37945fa38,33351402-69c3-452c-800e-023b985a89f3,HARDWARE,,,"Pát I inox - phải, dày 2.5li, rộng 30mm, dài 140mm",VT-PK-PAT-PAT-I-INOX-PHAI-DAY-2-5L,,,,,,,,1,cái,0,,,,,,,Chụp chốt pát I,30,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0172HG-AL,Ghế xếp chồng Santorin,7c189700-c10a-418b-a09d-b98430c67785,de910269-dc69-46c7-9438-cb41b1d9d825,WOOD,,,Mê ngồi,VT-GO-13x42,WD,,,13,42,,430,10,Cái,0,,,,,,,,10,2026-07-27T08:40:10.524468+00:00,2026-07-27T08:40:10.524468+00:00,,,13x42x430mm · Gỗ,
CH0170HG-AL,Ghế 5 bậc Paxos,7c309a2d-e785-4c2c-804f-95ca4eb91055,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,FRAME,,,Giằng mê trước,VT-AL-TRON-22x22,AL,TRON,,22,22,,425,1,Cái,0,,,,,,,,6,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,Tròn 22x22x425mm · Nhôm,
TB0174HG-AL,Bàn xếp Santorin,7c589411-e4c3-4b20-ace7-19fbcb78133b,9999b62a-9e6c-479a-a503-dfb1f5a01eda,FRAME,,,Giằng mặt trên,VT-AL-VUONG-20x20,AL,VUONG,,20,20,,600,2,Cái,0,,,,,,,,6,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,Vuông 20x20x1mm · Nhôm,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",7ca93e11-cacf-47f2-9f8a-374a7e487f63,ab1d308e-c1ed-413a-962e-fa0665835a57,HARDWARE,,,LĐN 6x16x10 màu đen,VT-PK-LDN-6X16X10-MAU-DEN-6X16X10MM,,,,,,,,2,Con,0,,,,,,,Làm con lăn gỗ,28,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,6x16x10mm,
CH0188HG-AL,Stacking Armchair,7cae84ba-a91c-417a-9a36-f75971365912,e8973176-e4ea-48ca-af9b-3be8ebadfe91,WOOD,,,Tay vịn,VT-GO-15x41,WD,,,15,41,,476,2,Cái,0,,,,,,,,8,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,Gỗ 15x41x476mm · Gỗ Bạch đàn,
BN0204HG-AL,Ghế ba bằng nhôm gỗ bạch đàn FSC,7ccfa84a-db66-4578-b5bf-51bae1958da6,d7cc4ec4-9b1a-4022-a1a5-f85c8a8c680e,HARDWARE,,,Vít 4x30,VT-PK-VIT-M4X30,,,,,,,,30,cái,0,,,,,,,,17,2026-07-27T08:40:28.444161+00:00,2026-07-27T08:40:28.444161+00:00,,,Thép/Nhựa,
CH0165HG-AL,Ghế xếp chồng nhôm vải Naxos,7cdaedcf-5bd4-43ef-b8eb-75f3fef33aff,f0401a01-d5b1-4296-a70e-90d2f283507b,FRAME,,,Chân trước(B58),VT-AL-PF-TDB477,AL,PF,TDB477,24,40,,630,2,Cái,0,,,,,,,,1,2026-07-27T08:40:02.457562+00:00,2026-07-27T08:40:02.457562+00:00,,,TD-B477 24x40x630mm · Nhôm,
CH0197HG-AL,Ghế XC Keros,7ce212e1-f12d-4b12-813b-5b536fe5ec67,814b379d-6f5e-4c81-b87d-66029b8e81b3,FRAME,,,Dọc mê,VT-AL-HOP-30x10,AL,HOP,,30,10,,470,2,cái,0,,,,,,,,3,2026-07-27T08:40:21.881921+00:00,2026-07-27T08:40:21.881921+00:00,,,Hộp 10x30x470mm · Hộp,
TB0164HG-AL,Bàn CNKG Tilos 180(250)x100x74 cm,7ced2739-38b8-4a50-8949-c6695a7aecde,8e9471e9-4316-4ea6-be0b-7aee3b53fdd3,FRAME,,,Bịt lót chân,VT-AL-LA-5x73,AL,LA,,5,73,,73,4,Cái,0,,,,,,,,7,2026-07-27T08:40:01.634461+00:00,2026-07-27T08:40:01.634461+00:00,,,La 5x73x5mm · Nhôm,
TB0192HG-AL,Table,7d51cdfc-bb5f-4485-b979-cf0bb8a675b0,ba6ce597-0683-40f0-9812-db98c3975068,FRAME,,,Thanh ngắn,VT-AL-HOP-40x60,AL,HOP,,40,60,,796,2,Cái,0,,,,,,,Profile 868,2,2026-07-27T08:39:56.349146+00:00,2026-07-27T08:39:56.349146+00:00,,,Hộp 40x60x796mm · Nhôm,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",7d5f38e4-65de-4fa5-85df-c76afa3ed5e5,ab1d308e-c1ed-413a-962e-fa0665835a57,FRAME,,,Bịt lót chân La,VT-AL-LA-5x73,AL,LA,,5,73,,73,4,Cái,0,,,,,,,TD- HG25,8,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,LA 5x73x5mm · Nhôm,
ST0185HG-AL,Rhone Aluminium Corner Lounge With Cushion,7d7060f8-9fb1-435e-8302-1d2decd93fe9,f4a7504c-aab3-47fe-ab02-b9e3d806ee1d,FRAME,,,Thanh dọc mê trước,VT-AL-HOP-20x60,AL,HOP,,20,60,,1970,1,Cái,0,,,,,,,,5,2026-07-27T08:39:50.289387+00:00,2026-07-27T08:39:50.289387+00:00,,,Hộp 20x60x1970mm · Nhôm,
TB0174HG-AL,Bàn xếp Santorin,7d80ff06-80ae-42a0-96c0-01acf7a00b41,9999b62a-9e6c-479a-a503-dfb1f5a01eda,HARDWARE,,,Tán rút 6 sắt,VT-PK-TANRUT-TAN-RUT-6-SAT-6,,,,,,,,2,Con,0,,,,,,,,26,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,6 · Sắt,
CH0170HG-AL,Ghế 5 bậc Paxos,7ddf0e06-770c-4e72-9759-e18e93d90470,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,FRAME,,,Giằng Chân,VT-AL-PF-TDB583,AL,PF,TDB583,17,30,,490,2,Cái,0,,,,,,,,1,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,TD-B583 17x30x490mm · Nhôm,
TB0198HG-IN,"Bàn Keros 150x90 khung Inox, nan gỗ keo FSC",7dff7205-7b46-4d0e-ac4f-3a06073c86b6,c835fe7a-b3b4-40ed-a1ee-3e432f3166ed,FRAME,,,Diềm ngắn,VT-IN-VUONG-25x25,IN,VUONG,,25,25,,850,2,cái,0,,,,,,,,2,2026-07-27T08:40:22.700984+00:00,2026-07-27T08:40:22.700984+00:00,,,Vuông 25x25x850mm · Vuông,
CH0186HG-AL,Muba Sofa Chair,7e1888f3-22c5-4678-bfa4-579666ab0ba9,04734a47-3d9b-4882-ac6a-67235869bc2a,PACKAGING,,,Màng PE,VT-BB-MANG-PE,,,,,,,,3,m,0,,,,,,,,18,2026-07-27T08:39:51.11612+00:00,2026-07-27T08:39:51.11612+00:00,,,Bao bì,
ST0185HG-AL,Rhone Aluminium Corner Lounge With Cushion,7e246a1d-abbf-495f-b33c-6a93baa09e34,f4a7504c-aab3-47fe-ab02-b9e3d806ee1d,FRAME,,,Nan mê,VT-AL-HOP-12x40,AL,HOP,,12,40,,1924.5,3,Cái,0,,,,,,,,10,2026-07-27T08:39:50.289387+00:00,2026-07-27T08:39:50.289387+00:00,,,Hộp 12x40x1924.5mm · Nhôm,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",7e3e1a8d-a753-491e-9d43-82ed84925f7c,ab1d308e-c1ed-413a-962e-fa0665835a57,HARDWARE,,,"Vít 4x15 đầu bằng đuôi cá, xi đen",VT-PK-VIT-M4X15,,,,,,,,8,Con,0,,,,,,,,31,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,4x15mm,
CH0180HG-AL,Ghế 5 bậc Toblino,7e4330b4-3bd7-4354-943f-65bfb0b8dfa9,686a1fc9-ecb3-4d78-9fd9-6815b90375e0,FRAME,,,Ố Cần,VT-AL-TRON-11.5x11.5,AL,TRON,,11.5,11.5,,55,2,Cái,0,,,,,,,DTBD 02,11,2026-07-27T08:40:17.275135+00:00,2026-07-27T08:40:17.275135+00:00,,,"Tròn D11.5mm, t=3.5mm · Nhôm",
TB0169HG-AL,Bàn CNKG Paxos,7e52807f-4e16-49a5-9b49-9be4bf4b5e18,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,WOOD,,,Nan ngắn mặt,VT-GO-11x22,WD,,,11,22,,596,33,Cái,0,,,,,,,,16,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,11x22x596mm · Gỗ,
TB0163HG-AL,"Bàn CN Tilos 150x90 cm, Khung nhôm , gỗ keo",7e65e6c0-d419-4c06-b502-bedccfa2a3f3,00f354d3-fe00-4fb9-a0e3-38327774ee15,WOOD,,,LK nan bàn,VT-GO-13x40,WD,,,13,40,,770,2,Cái,0,,,,,,,,13,2026-07-27T08:40:00.532777+00:00,2026-07-27T08:40:00.532777+00:00,,,"13x40x770mm, Mộng 40 · Gỗ keo",
TB0199HG-IN,"Bàn CNKG Keros khung Inox 180(240)x100cm, nan gỗ keo FSC",7ecb21bf-f612-42dd-a890-83362ff2928a,abbc34a3-c6cb-477d-8ec4-0fbed3012bb6,FRAME,,,Bịt diềm,VT-IN-LA-1.5x30,IN,LA,,1.5,30,,60,4,Cái,0,,,,,,,,8,2026-07-27T08:40:18.145781+00:00,2026-07-27T08:40:18.145781+00:00,,,LA 30x1.5mm · Inox,
OT0179HG-AL,"Bồn hoa nhỏ, khung nhôm, nan gỗ",7f362f9c-2744-4dbd-90a6-4659cc42a67f,467c7182-10b4-45ac-aee5-7c5ed88542ea,WOOD,,,Nan khung trên 2,VT-GO-6x30,WD,,,6,30,,382,4,cái,0,,,,,,,,6,2026-07-27T08:40:20.012597+00:00,2026-07-27T08:40:20.012597+00:00,,,Gỗ 6x30x382mm · Gỗ keo,
BN0203HG-AL,Ghế đôi bằng nhôm gỗ bạch đàn FSC,7f376fb1-eee6-40fa-973f-3911db97768f,de2881a3-ffbd-46b8-b144-c3f858ed4cab,HARDWARE,,,Vít m6x50 (đầu col lục giác),VT-PK-VIT-M6X50,,,,,,,,4,cái,0,,,,,,,,18,2026-07-27T08:40:27.636224+00:00,2026-07-27T08:40:27.636224+00:00,,,Thép/Nhựa,
TB0174HG-AL,Bàn xếp Santorin,7f453872-b26e-4b4a-9b56-8aa18f5e2e6d,9999b62a-9e6c-479a-a503-dfb1f5a01eda,HARDWARE,,,LĐN 6x16x2 đen,VT-PK-LDN-6X16X2-DEN-6X16X2,,,,,,,,4,Con,0,,,,,,,,38,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,6x16x2,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",7f585ca8-ebd9-4b35-a393-9d1c1bace5c8,33351402-69c3-452c-800e-023b985a89f3,FRAME,,,Khớp nối chân 1,VT-IN-TRON-32x32,IN,TRON,,32,32,,50,2,cái,0,,,,,,,,6,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Tròn 32x32x50mm · Tròn,
TB0164HG-AL,Bàn CNKG Tilos 180(250)x100x74 cm,7f6e8f51-e309-4127-b47d-04ec01c3f014,8e9471e9-4316-4ea6-be0b-7aee3b53fdd3,WOOD,,,Bọ,VT-GO-15x40,WD,,,15,40,,105,2,Cái,0,,,,,,,,17,2026-07-27T08:40:01.634461+00:00,2026-07-27T08:40:01.634461+00:00,,,15x40x105mm,
ST0185HG-AL,Rhone Aluminium Corner Lounge With Cushion,7f86544a-2c4c-470d-bbeb-7b2406ad24ee,f4a7504c-aab3-47fe-ab02-b9e3d806ee1d,WOOD,,,Ốp tay vịn,VT-GO-20x59,WD,,,20,59,,717,2,Cái,0,,,,,,,Bo R15 đầu tay vịn,19,2026-07-27T08:39:50.289387+00:00,2026-07-27T08:39:50.289387+00:00,,,Gỗ 20x59x717mm · Gỗ Keo,
TB0164HG-AL,Bàn CNKG Tilos 180(250)x100x74 cm,7fa1dddb-eb3b-4b8d-bc09-b4083a1e7bf9,8e9471e9-4316-4ea6-be0b-7aee3b53fdd3,FRAME,,,Cốt chân,VT-AL-LA-2x20,AL,LA,,2,20,,269,4,Cái,0,,,,,,,,5,2026-07-27T08:40:01.634461+00:00,2026-07-27T08:40:01.634461+00:00,,,La 2x20x2mm · Nhôm,
CH0170HG-AL,Ghế 5 bậc Paxos,7fc45960-9c02-4d46-bdaa-ad8597f4e997,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,HARDWARE,,,"Bulon 6x20x12, 7 màu",VT-PK-BULONG-M6X20,,,,,,,,2,con,0,,,,,,,,31,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,6x20x12,
