code,name,nhom,vat_lieu,dang,tiet_dien_a_mm,tiet_dien_b_mm,day_thanh_mm,unit,so_dong_bom,so_san_pham,can_ra_tay,cac_cach_viet_goc
VT-BB-GIAY-LOT-CANH-V5-80-X-80,Giấy lót canh v5 80 x 80,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy lót canh v5 80 x 80
VT-BB-GIAY-LOT-MAT-1000X500,Giấy lót mặt  1000x500,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy lót mặt  1000x500
VT-BB-GIAY-SHELL-250X-2000,Giấy shell 250x 2000,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy shell 250x 2000
VT-BB-GIAY-SHELL-250X-2500,Giấy shell 250x 2500,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy shell 250x 2500
VT-BB-GIAY-SHELL-700X3500,Giấy shell 700x3500,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy shell 700x3500
VT-BB-GIAY-SHELL-BOC-CHAN-700-X-4000,Giấy shell bọc chân 700 x 4000,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy shell bọc chân 700 x 4000
VT-BB-GIAY-SHELL-LOT-500-X-900,Giấy shell lót 500 x 900,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy shell lót 500 x 900
VT-BB-GIAY-SHELL-LOT-600-X2000,Giấy shell lót 600 x2000,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy shell lót 600 x2000
VT-BB-GIAY-TO-ONG-60X50X30,Giấy tổ ong 60x50x30,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy tổ ong 60x50x30
VT-BB-GOC-V5-50-X-50-X-660,góc V5 50 x 50 x 660,BAO BI,,,,,,,1,1,CẦN RÀ,góc V5 50 x 50 x 660
VT-BB-HOP-CHEN-350-X-450-X-300,Hộp chèn 350 x 450 x 300,BAO BI,,,,,,,12,1,CẦN RÀ,Hộp chèn 350 x 450 x 300
VT-BB-HOP-CHEN-400-X-680-X-100,Hộp chèn 400 x 680 x 100,BAO BI,,,,,,,14,2,CẦN RÀ,Hộp chèn 400 x 680 x 100
VT-BB-HOP-CHEN-DAU-560-X-250-X-100,Hộp chèn đầu  560 x 250 x 100,BAO BI,,,,,,,14,2,CẦN RÀ,Hộp chèn đầu  560 x 250 x 100
VT-BB-HOP-CHEN-GOC-80X80X540,Hộp chèn góc 80x80x540,BAO BI,,,,,,,1,1,CẦN RÀ,Hộp chèn góc 80x80x540
VT-BB-HOP-CHEN-GOC-80X80X700,Hộp chèn góc 80x80x700,BAO BI,,,,,,,1,1,CẦN RÀ,Hộp chèn góc 80x80x700
VT-BB-HOP-CHEN-X-60-X-210-X-485,Hộp chèn x 60 x 210 x 485,BAO BI,,,,,,,1,1,CẦN RÀ,Hộp chèn x 60 x 210 x 485
VT-BB-KE-GOC-V5-47-X200-X200,kê góc V5 47 x200 x200,BAO BI,,,,,,,1,1,CẦN RÀ,kê góc V5 47 x200 x200
VT-BB-LOT-5-LOP-CHEN-CANH-150-X-2000,Lót 5 lớp chèn cạnh 150 x 2000,BAO BI,,,,,,,1,1,CẦN RÀ,Lót 5 lớp chèn cạnh 150 x 2000
VT-BB-LOT-5-LOP-CHEN-CANH-150-X-800,Lót 5 lớp chèn cạnh 150 x 800,BAO BI,,,,,,,1,1,CẦN RÀ,Lót 5 lớp chèn cạnh 150 x 800
VT-BB-LOT-CANH-5-LOP-160-X-2000,Lót cạnh 5 lớp 160 x 2000,BAO BI,,,,,,,1,1,CẦN RÀ,Lót cạnh 5 lớp 160 x 2000
VT-BB-LOT-CANH-5-LOP-160-X-700,Lót cạnh 5 lớp 160 x 700,BAO BI,,,,,,,1,1,CẦN RÀ,Lót cạnh 5 lớp 160 x 700
VT-BB-LOT-MAT-3-LOP-2000-X-100,Lót mặt 3 lớp 2000 x 100,BAO BI,,,,,,,1,1,CẦN RÀ,Lót mặt 3 lớp 2000 x 100
VT-BB-LUOI-BOC-CHAN-40X450,Lưới bọc chân 40x450,BAO BI,,,,,,,2,1,CẦN RÀ,Lưới bọc chân 40x450
VT-BB-LUOI-BOC-CHAN-40X750,Lưới bọc chân 40x750,BAO BI,,,,,,,4,2,CẦN RÀ,Lưới bọc chân 40x750
VT-BB-LUOI-BOC-CHAN-60X1300,Lưới bọc chân 60x1300,BAO BI,,,,,,,1,1,CẦN RÀ,Lưới bọc chân 60x1300
VT-BB-MAN-CO-5-MET,màn co 5 mét,BAO BI,,,,,,,1,1,CẦN RÀ,màn co 5 mét
VT-BB-MAN-PE,Màn pe,BAO BI,,,,,,,1,1,CẦN RÀ,Màn pe
VT-BB-MAY-DEP,Mây dẹp,BAO BI,,,,,,,3,3,CẦN RÀ,Mây dẹp
VT-BB-MUT-DAI-5MM-LOT-GOC-V-100X100,Mút dai 5mm lót góc V 100x100,BAO BI,,,,,,,1,1,CẦN RÀ,Mút dai 5mm lót góc V 100x100
VT-BB-MUT-DAI-600-X-1000,mút dai 600 x 1000,BAO BI,,,,,,,1,1,CẦN RÀ,mút dai 600 x 1000
VT-BB-MUT-DAI-650-X-300,mút dai 650 x 300,BAO BI,,,,,,,14,2,CẦN RÀ,mút dai 650 x 300
VT-BB-MUT-DAI-LOT-1600X1500,Mút dai lót 1600x1500,BAO BI,,,,,,,1,1,CẦN RÀ,Mút dai lót 1600x1500
VT-BB-MUT-DAI-LOT-700X1500,Mút dai lót 700x1500,BAO BI,,,,,,,1,1,CẦN RÀ,Mút dai lót 700x1500
VT-BB-MUT-DAI-QUAN-450-X-600,mút dai quấn 450 x 600,BAO BI,,,,,,,12,1,CẦN RÀ,mút dai quấn 450 x 600
VT-BB-MUT-XOP-EPE-XOP-NGOC-TRAI-7X1000X1,Mút xốp EPE / xốp ngọc trai 7x1000x1000,BAO BI,,,,,,,1,1,CẦN RÀ,Mút xốp EPE / xốp ngọc trai 7x1000x1000
VT-BB-NEP-GOC-200-50-50-5,Nẹp góc 200 × 50 × 50 × 5,BAO BI,,,,,,,1,1,CẦN RÀ,Nẹp góc 200 × 50 × 50 × 5
VT-BB-SO-GAI-M6,sò gai M6,BAO BI,,,,,,,3,3,CẦN RÀ,sò gai M6
VT-BB-TAM-LOT-3-LOP-1870-X-830,tấm lót 3 lớp 1870 x 830,BAO BI,,,,,,,1,1,CẦN RÀ,tấm lót 3 lớp 1870 x 830
VT-BB-THUNG-175LBS,Thùng 175lbs,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng 175lbs
VT-BB-THUNG-175LBS-1040X840X700,Thùng 175lbs  1040x840x700,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng 175lbs  1040x840x700
VT-BB-THUNG-175LBS-1620X860X540,Thùng 175lbs  1620x860x540,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng 175lbs  1620x860x540
VT-BB-THUNG-250-LBS-2050-X-800-X-150,thùng 250 lbs  2050 x 800 x 150,BAO BI,,,,,,,1,1,CẦN RÀ,thùng 250 lbs  2050 x 800 x 150
VT-BB-THUNG-250LBS-1430-X1430-X145,Thùng 250lbs 1430 x1430 x145,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng 250lbs 1430 x1430 x145
VT-BB-THUNG-250LBS-2050-X-800-X160,Thung 250lbs 2050 x 800  x160,BAO BI,,,,,,,1,1,CẦN RÀ,Thung 250lbs 2050 x 800  x160
VT-BB-THUNG-250LBS-AD-1475-X-490-X-130,Thùng 250lbs AD 1475 x 490 x 130,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng 250lbs AD 1475 x 490 x 130
VT-BB-THUNG-250LBS-DOI-KHAU,Thùng 250lbs dối khẩu,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng 250lbs dối khẩu
VT-BB-THUNG-DK-250-1870-X-830-X-660,Thùng  DK 250 1870 x 830 x 660,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng  DK 250 1870 x 830 x 660
VT-BB-THUNG-DOI-KHAU-175LBS,Thùng đối khẩu 175lbs,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng đối khẩu 175lbs
VT-BB-THUNG-DOI-KHAU-200LBS,Thùng đối khẩu 200lbs,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng đối khẩu 200lbs
VT-BB-THUNG-DOI-KHAU-250-LBS-930-X-642-X,Thùng Đối khẩu 250 lbs 930 x 642 x 310,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng Đối khẩu 250 lbs 930 x 642 x 310
VT-BB-THUNG-DOI-KHAU-250LBS,thùng dối khẩu 250lbs,BAO BI,,,,,,,1,1,CẦN RÀ,thùng dối khẩu 250lbs
VT-BB-THUNG-MAT-KINH-200LBS-1100-X-600-X,Thùng mặt kính 200lbs 1100 x 600 x 30,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng mặt kính 200lbs 1100 x 600 x 30
VT-BB-THUNG-MO-RONG-PHU-BI,Thùng mở rộng  phủ bì,BAO BI,,,,,,,1,1,CẦN RÀ,Thùng mở rộng  phủ bì
VT-BB-TUI-NHUA-1300-1300-0-035,túi nhựa  1300 × 1300 × 0.035,BAO BI,,,,,,,1,1,CẦN RÀ,túi nhựa  1300 × 1300 × 0.035
VT-BB-V-GOC-3-LOP-50-X-50-X-1000MM,V góc 3 lớp 50 x 50 x 1000mm,BAO BI,,,,,,,4,1,CẦN RÀ,V góc 3 lớp 50 x 50 x 1000mm
VT-BB-V-GOC-3-LOP-50-X-50-X-120-MM,V góc 3 lớp 50 x 50 x 120 mm,BAO BI,,,,,,,6,3,CẦN RÀ,V góc 3 lớp 50 x 50 x 120 mm
VT-BB-V-GOC-3-LOP-50-X-50-X-750-MM,V góc 3 lớp 50 x 50 x 750 mm,BAO BI,,,,,,,8,2,CẦN RÀ,V góc 3 lớp 50 x 50 x 750 mm
VT-BB-V-GOC-3-LOP-50-X-50-X-810-MM,V góc 3 lớp 50 x 50 x 810 mm,BAO BI,,,,,,,6,2,CẦN RÀ,V góc 3 lớp 50 x 50 x 810 mm
VT-BB-V-GOC-3-LOP-50-X-50-X-850MM,V góc 3 lớp 50 x 50 x 850mm,BAO BI,,,,,,,4,1,CẦN RÀ,V góc 3 lớp 50 x 50 x 850mm
VT-BB-V-GOC-3-LOP-50-X-50-X-910MM,V góc 3 lớp 50 x 50 x 910mm,BAO BI,,,,,,,4,1,CẦN RÀ,V góc 3 lớp 50 x 50 x 910mm
VT-BB-V-GOC-5-LOP-50X50X50,V góc 5 lớp  50x50x50,BAO BI,,,,,,,1,1,CẦN RÀ,V góc 5 lớp  50x50x50
VT-BB-V5-40X40X450,V5 40x40x450,BAO BI,,,,,,,1,1,CẦN RÀ,V5 40x40x450
VT-BB-V5-GOC-40-X-40-X-310,V5 góc 40 x 40 x 310,BAO BI,,,,,,,1,1,CẦN RÀ,V5 góc 40 x 40 x 310
VT-BB-V5-GOC-40-X-40-X190,V5 góc 40 x 40 x190,BAO BI,,,,,,,1,1,CẦN RÀ,V5 góc 40 x 40 x190
VT-BB-V5-GOC-40-X40-420,V5 góc 40 x40 420,BAO BI,,,,,,,1,1,CẦN RÀ,V5 góc 40 x40 420
VT-BB-V5-GOC-40-X40-X310,V5 góc 40 x40 x310,BAO BI,,,,,,,1,1,CẦN RÀ,V5 góc 40 x40 x310
VT-BB-V5-GOC-40X40X150,V5 góc 40x40x150,BAO BI,,,,,,,2,2,CẦN RÀ,V5 góc 40x40x150 | V5 góc  40x40x150
VT-BB-V5-GOC-40X40X180,V5 góc 40x40x180,BAO BI,,,,,,,1,1,CẦN RÀ,V5 góc 40x40x180
VT-BB-XOP-1000-X500,Xốp 1000 x500,BAO BI,,,,,,,2,1,CẦN RÀ,Xốp 1000 x500
VT-BB-XOP-1800-X900,Xốp 1800 x900,BAO BI,,,,,,,2,1,CẦN RÀ,Xốp 1800 x900
VT-BB-XOP-2100-X900,Xốp 2100 x900,BAO BI,,,,,,,2,1,CẦN RÀ,Xốp 2100 x900
VT-BB-XOP-BIEN-10-X-30-X-1100,Xốp biên 10 x 30 x 1100,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp biên 10 x 30 x 1100
VT-BB-XOP-BIEN-10-X-30-X-600,Xốp biên 10 x 30 x 600,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp biên 10 x 30 x 600
VT-BB-XOP-CANH-10-X-150-X-1205,Xốp cạnh 10 x 150 x 1205,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp cạnh 10 x 150 x 1205
VT-BB-XOP-CANH-10-X-150-X-500,Xốp cạnh 10 x 150 x 500,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp cạnh 10 x 150 x 500
VT-BB-XOP-GOC-50-X-50-X-30,xốp góc 50 x 50 x 30,BAO BI,,,,,,,1,1,CẦN RÀ,xốp góc 50 x 50 x 30
VT-BB-XOP-KE-LON-10-X-360-X499,Xốp kệ lớn 10 x 360 x499,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp kệ lớn 10 x 360 x499
VT-BB-XOP-KE-NHO-X-10-X360-X400,xốp kệ nhỏ x 10 x360 x400,BAO BI,,,,,,,1,1,CẦN RÀ,xốp kệ nhỏ x 10 x360 x400
VT-BB-XOP-LOT-MAT-10X1430X1430,Xốp lót mặt 10x1430x1430,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp lót mặt 10x1430x1430
VT-BB-XOP-MAT-10-X-1100X-600,Xốp mặt 10 x 1100x 600,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp mặt 10 x 1100x 600
VT-BB-XOP-MAT-10-X-1205-X-500,Xốp mặt 10 x 1205 x 500,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp mặt 10 x 1205 x 500
VT-BB-XOP-MAT-BAN-415-X-445,xốp mặt bàn 415 x 445,BAO BI,,,,,,,1,1,CẦN RÀ,xốp mặt bàn 415 x 445
VT-BB-XOP-NO-1000X660,Xốp nổ 1000x660,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp nổ 1000x660
VT-BB-XOP-NO-1100X510,Xốp nổ 1100x510,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp nổ 1100x510
VT-BB-XOP-NO-1500-X-1000,Xốp nổ 1500 x 1000,BAO BI,,,,,,,1,1,CẦN RÀ,Xốp nổ 1500 x 1000
VT-DD-DAY-DU-DEP-140-MET-1.5x20,Dây dù dẹp ( 140 mét ),DAY DAN,,,1.5,20,,,1,1,CẦN RÀ,Dây dù dẹp ( 140 mét )
VT-GO-BAN,Bàn,GO / POLYWOOD,,,,,,,2,2,CẦN RÀ,Bàn
VT-GO-BAN-PHU-12x95,Bàn phụ,GO / POLYWOOD,,,12,95,,,2,1,CẦN RÀ,Bàn phụ
VT-GO-BO-BAT-NHUA-TRUOT-15x40,Bọ bắt nhựa trượt,GO / POLYWOOD,,,15,40,,,1,1,CẦN RÀ,Bọ bắt nhựa trượt
VT-GO-BO-NUT-NHAN-15x45,Bọ nút nhấn,GO / POLYWOOD,,,15,45,,,1,1,CẦN RÀ,Bọ nút nhấn
VT-GO-CHAN-35x35,Chân,GO / POLYWOOD,,,35,35,,,2,2,CẦN RÀ,Chân
VT-GO-CHAN-50x50,Chân,GO / POLYWOOD,,,50,50,,,4,1,CẦN RÀ,Chân
VT-GO-CHAN-BAN-50x50,Chân Bàn,GO / POLYWOOD,,,50,50,,,4,3,CẦN RÀ,Chân Bàn | Chân bàn
VT-GO-CHAN-GHE-50x50,Chân ghế,GO / POLYWOOD,,,50,50,,,3,2,CẦN RÀ,Chân ghế
VT-GO-CHAN-PHU-TRON-30x30,Chân phụ tròn,GO / POLYWOOD,,,30,30,,,1,1,CẦN RÀ,Chân phụ tròn
VT-GO-CHAN-SAU-TRON-40x40,Chân sau tròn,GO / POLYWOOD,,,40,40,,,2,2,CẦN RÀ,Chân sau tròn
VT-GO-CHAN-TRON-40x40,Chân tròn,GO / POLYWOOD,,,40,40,,,1,1,CẦN RÀ,Chân tròn
VT-GO-CHAN-TRUOC-TRON-40x40,Chân trước tròn,GO / POLYWOOD,,,40,40,,,2,2,CẦN RÀ,Chân trước tròn
VT-GO-CHOT-KHOA-NANG,Chốt khoá nâng,GO / POLYWOOD,,,,,,,2,2,CẦN RÀ,Chốt khoá nâng
VT-GO-CHOT-TRON-15x15,Chốt tròn,GO / POLYWOOD,,,15,15,,,2,2,CẦN RÀ,Chốt tròn
VT-GO-CONG-DAN,Công đan,GO / POLYWOOD,,,,,,,2,2,CẦN RÀ,Công đan
VT-GO-DAU-KEO,Đầu kéo,GO / POLYWOOD,,,,,,,15,2,CẦN RÀ,Đầu kéo
VT-GO-DAY-DAU-KEO-YKK,Dây đầu kéo YKK,GO / POLYWOOD,,,,,,,10,1,CẦN RÀ,Dây đầu kéo YKK
VT-GO-DAY-DAU-KEO-YKK-DAY-GAN,"Dây đầu kéo YKK , DÂY GÂN",GO / POLYWOOD,,,,,,,5,1,CẦN RÀ,"Dây đầu kéo YKK , DÂY GÂN"
VT-GO-DAY-DU-6-LY-180-MET,Dây dù 6 ly = 180 mét,GO / POLYWOOD,,,,,,,1,1,CẦN RÀ,Dây dù 6 ly = 180 mét
VT-GO-DAY-DU-6-LY-250-MET,Dây dù 6 ly = 250 mét,GO / POLYWOOD,,,,,,,1,1,CẦN RÀ,Dây dù 6 ly = 250 mét
VT-GO-DAY-GAN-ME-6M-TUA-1M3,"Dây gân ( Mê 6m , Tựa 1m3)",GO / POLYWOOD,,,,,,,5,1,CẦN RÀ,"Dây gân ( Mê 6m , Tựa 1m3)"
VT-GO-DAY-HOC-KEO-TRONG-10x375,Đáy hộc kéo trong,GO / POLYWOOD,,,10,375,,,1,1,CẦN RÀ,Đáy hộc kéo trong
VT-GO-DAY-KEO,Dây kéo,GO / POLYWOOD,,,,,,,15,2,CẦN RÀ,Dây kéo
VT-GO-DE-TANG,Đế tăng,GO / POLYWOOD,,,,,,,4,2,CẦN RÀ,Đế tăng
VT-GO-DO-NAN-BAN-10x43,Đỡ nan bàn,GO / POLYWOOD,,,10,43,,,1,1,CẦN RÀ,Đỡ nan bàn
VT-GO-DO-NAN-BAN-PHU-10x43,Đỡ nan bàn phụ,GO / POLYWOOD,,,10,43,,,1,1,CẦN RÀ,Đỡ nan bàn phụ
VT-GO-DO-NAN-KHUNG-GIUA-8x40,Đỡ nan khung giữa,GO / POLYWOOD,,,8,40,,,1,1,CẦN RÀ,Đỡ nan khung giữa
VT-GO-DO-NAN-KHUNG-TRAI-PHAI-8x40,Đỡ nan khung trái + phải,GO / POLYWOOD,,,8,40,,,1,1,CẦN RÀ,Đỡ nan khung trái + phải
VT-GO-DO-NAN-ME-NGOI-15x20,Đỡ nan mê ngồi,GO / POLYWOOD,,,15,20,,,2,2,CẦN RÀ,Đỡ nan mê ngồi
VT-GO-DO-NAN-TUA-10x20,Đỡ nan tựa,GO / POLYWOOD,,,10,20,,,2,2,CẦN RÀ,Đỡ nan tựa
VT-GO-DO-NANG-BAN-15x50,Đỡ nang bàn,GO / POLYWOOD,,,15,50,,,1,1,CẦN RÀ,Đỡ nang bàn
VT-GO-DOC-2-BIEN-KHUNG-GIUA-20x75,Dọc 2 biên khung giữa,GO / POLYWOOD,,,20,75,,,1,1,CẦN RÀ,Dọc 2 biên khung giữa
VT-GO-DOC-BIEN-KHUNG-GIUA-25x60,Dọc biên khung giữa,GO / POLYWOOD,,,25,60,,,1,1,CẦN RÀ,Dọc biên khung giữa
VT-GO-DOC-BIEN-KHUNG-TRAI-PHAI-20x75,Dọc biên khung trái + phải,GO / POLYWOOD,,,20,75,,,1,1,CẦN RÀ,Dọc biên khung trái + phải
VT-GO-DOC-BIEN-KHUNG-TRAI-PHAI-25x60,Dọc biên khung trái + phải,GO / POLYWOOD,,,25,60,,,1,1,CẦN RÀ,Dọc biên khung trái + phải
VT-GO-DOC-GIUA-KHUNG-GIUA-25x45,Dọc giữa khung giữa,GO / POLYWOOD,,,25,45,,,1,1,CẦN RÀ,Dọc giữa khung giữa
VT-GO-DOC-KHUNG-BAN-2-CANH-25x70,Dọc khung bàn 2 cánh,GO / POLYWOOD,,,25,70,,,1,1,CẦN RÀ,Dọc khung bàn 2 cánh
VT-GO-DOC-KHUNG-GIUA-20x44,Dọc khung giữa,GO / POLYWOOD,,,20,44,,,1,1,CẦN RÀ,Dọc khung giữa
VT-GO-DOC-NGOAI-CANH-GIUA-25x70,Dọc ngoài cánh giữa,GO / POLYWOOD,,,25,70,,,1,1,CẦN RÀ,Dọc ngoài cánh giữa
VT-GO-DOC-NGOI-22x35,Dọc ngồi,GO / POLYWOOD,,,22,35,,,2,2,CẦN RÀ,Dọc ngồi
VT-GO-DOC-TRONG-CANH-GIUA-25x35,Dọc trong cánh giữa,GO / POLYWOOD,,,25,35,,,1,1,CẦN RÀ,Dọc trong cánh giữa
VT-GO-DOC-TUA-TRON-40x40,Dọc tựa tròn,GO / POLYWOOD,,,40,40,,,2,2,CẦN RÀ,Dọc tựa tròn
VT-GO-GIANG-CHAN-15x30,Giằng chân,GO / POLYWOOD,,,15,30,,,2,1,CẦN RÀ,Giằng chân
VT-GO-GOI-180x240,Gối,GO / POLYWOOD,,,180,240,,,1,1,CẦN RÀ,Gối
VT-GO-GOI-240x580,Gối,GO / POLYWOOD,,,240,580,,,1,1,CẦN RÀ,Gối
VT-GO-GOI-240x742,Gối,GO / POLYWOOD,,,240,742,,,1,1,CẦN RÀ,Gối
VT-GO-GOI-240x775,Gối,GO / POLYWOOD,,,240,775,,,1,1,CẦN RÀ,Gối
